ap11landingmono;;;;;;;;;filler
MET;;altitude PAO;phase;time/PDI (s);;time/P64;;Abs time;filler
102:23:57;81;53000;o;102:33:11;;102:41:40;???VERIF ALT;;filler
102:26:29;82;;o;102:33:11;;102:41:40;;;filler
102:26:55;83;;o;102:33:11;;102:41:40;;;filler
102:28:00;84;;o;102:33:11;;102:41:40;5mn to PDI;;filler
102:28:49;85;;o;102:33:11;;102:41:40;180;;filler
102:29:30;86;;o;102:33:11;;102:41:40;;;filler
102:31:04;87;;o;102:33:11;;102:41:40;240;;filler
102:31:32;88;;o;102:33:11;;102:41:40;;;filler
102:32:03;89;;o;102:33:11;;102:41:40;1mn to PDI;;filler
102:32:33;90;;o;102:33:11;;102:41:40;;;filler
102:33:03;91;;o;102:33:11;;102:41:40;Ignition;;filler
102:33:12;93;;b;102:33:11;;102:41:40;;;filler
102:34:01;92;52000;b;102:33:11;;102:41:40;;;filler
102:34:25;2;51000;b;102:33:11;;102:41:40;VERIF ALT;;filler
102:34:59;3;;b;102:33:11;;102:41:40;;;filler
102:35:14;4;;b;102:33:11;m;102:41:40;;;filler
102:35:30;5;47000;b;102:33:11;m;102:41:40;;;filler
102:35:51;6;;b;102:33:11;m;102:41:40;;;filler
102:36:11;7;;b;102:33:11;m;102:41:40;;;filler
102:37:18;8;;b;102:33:11;m;102:41:40;;;filler
102:37:22;9;;b;102:33:11;m;102:41:40;;;filler
102:37:30;10;40000;b;102:33:11;m;102:41:40;;;filler
102:38:04;11;;b;102:33:11;;102:41:40;;;filler
102:38:11;12;;b;102:33:11;;102:41:40;;;filler
102:38:18;13;;b;102:33:11;;102:41:40;;;filler
102:38:20;14;;b;102:33:11;;102:41:40;1202;;filler
102:38:35;15;33500;b;102:33:11;;102:41:40;;;filler
102:38:42;16;;b;102:33:11;;102:41:40;go on that al;;filler
102:38:59;17;;b;102:33:11;;102:41:40;;;filler
102:39:08;18;;b;102:33:11;;102:41:40;;;filler
102:39:14;19;27000;b;102:33:11;;102:41:40;;;filler
102:39:20;20;;b;102:33:11;;102:41:40;;;filler
102:39:28;21;;b;102:33:11;;102:41:40;;;filler
102:39:34;22;;b;102:33:11;;102:41:40;throttle down;;filler
102:39:48;23;;b;102:33:11;;102:41:40;;;filler
102:39:55;24;21000;b;102:33:11;;102:41:40;;;filler
102:40:13;25;;b;102:33:11;;102:41:40;;;filler
102:40:30;26;16300;b;102:33:11;;102:41:40;;;filler
102:40:49;27;;b;102:33:11;;102:41:40;;;filler
102:40:55;28;13500;b;102:33:11;;102:41:40;;;filler
102:41:01;29;;b;102:33:11;;102:41:40;;;filler
102:41:10;30;;b;102:33:11;;102:41:40;30s to p64;;filler
102:41:27;31;9200;b;102:33:11;;102:41:40;;;filler
102:41:37;32;;b;102:33:11;;102:41:40;P64;;filler
102:41:51;33;5000;a;102:33:11;;102:41:40;;;filler
102:42:00;34;;a;102:33:11;;102:41:40;;;filler
102:42:05;35;3500;a;102:33:11;;102:41:40;;;filler
102:42:17;36;2800;a;102:33:11;;102:41:40;;;filler
102:42:22;37;;a;102:33:11;;102:41:40;1201;;filler
102:42:31;38;2000;a;102:33:11;;102:41:40;;;filler
102:42:41;39;;a;102:33:11;;102:41:40;;;filler
102:42:46;40;1600;a;102:33:11;;102:41:40;;;filler
102:42:52;41;1400;a;102:33:11;;102:41:40;;;filler
102:42:58;42;900;a;102:33:11;;102:41:40;;;filler
102:43:07;43;700;a;102:33:11;;102:41:40;;;filler
102:43:11;44;600;a;102:33:11;;102:41:40;;;filler
102:43:16;45;540;a;102:33:11;;102:41:40;;;filler
102:43:26;46;400;a;102:33:11;;102:41:40;;;filler
102:43:33;47;350;a;102:33:11;;102:41:40;;;filler
102:43:35;48;330;a;102:33:11;;102:41:40;;;filler
102:43:42;49;;a;102:33:11;;102:41:40;;;filler
102:43:46;50;300;a;102:33:11;;102:41:40;;;filler
102:43:49;51;;a;102:33:11;;102:41:40;;;filler
102:43:57;52;270;a;102:33:11;;102:41:40;;;filler
102:44:04;53;250;a;102:33:11;;102:41:40;;;filler
102:44:13;54;220;a;102:33:11;;102:41:40;;;filler
102:44:16;55;210;a;102:33:11;;102:41:40;;;filler
102:44:23;56;200;a;102:33:11;;102:41:40;;;filler
102:44:31;57;160;a;102:33:11;;102:41:40;;;filler
102:44:40;58;120;a;102:33:11;;102:41:40;;;filler
102:44:45;59;100;a;102:33:11;;102:41:40;;;filler
102:44:49;60;;a;102:33:11;;102:41:40;;;filler
102:44:54;61;75;a;102:33:11;;102:41:40;;;filler
102:45:02;62;;a;102:33:11;;102:41:40;;;filler
102:45:09;63;;a;102:33:11;;102:41:40;;;filler
102:45:17;64;40;a;102:33:11;;102:41:40;;;filler
102:45:21;65;30;a;102:33:11;;102:41:40;;;filler
102:45:25;71;;a;102:33:11;;102:41:40;;;filler
102:45:27;72;;a;102:33:11;;102:41:40;;;filler
102:45:30;73;;a;102:33:11;;102:41:40;;;filler
102:45:31;74;;a;102:33:11;;102:41:40;;;filler
102:45:40;67;5;a;102:33:11;m;102:41:40;contact;;filler
102:45:44;68;1;a;102:33:11;m;102:41:40;landed;;filler
